施設・区域名,用途,所在地1,所在地2,所在地3,所在地4,所在地5,所在地6,所在地7,2-1(a)面積（千㎡）,2-4(a)面積（千㎡）
キャンプ千歳,通信,北海道千歳市,-,-,-,-,-,-,4274,4263
三沢飛行場,飛行場,青森県三沢市,青森県上北郡東北町,-,-,-,-,-,15780,5183
八戸貯油施設,倉庫,青森県八戸市,青森県三沢市,青森県上北郡おいらせ町,-,-,-,-,173,1
三沢対地射爆撃場,演習場,青森県三沢市,青森県上北郡六ヶ所村,-,-,-,-,-,7656,7655
車力通信所,通信,青森県つがる市,-,-,-,-,-,-,135,0
赤坂プレス・センター,事務所,東京都港区,-,-,-,-,-,-,27,0
横田飛行場,飛行場,東京都福生市,東京都西多摩郡瑞穂町,東京都武蔵村山市,東京都羽村市,東京都立川市,東京都昭島市,埼玉県狭山市,7136,139
多摩サービス補助施設,その他,東京都稲城市,東京都多摩市,-,-,-,-,-,1948,0
木更津飛行場,飛行場,千葉県木更津市,-,-,-,-,-,-,2095,2082
キャンプ朝霞,通信,埼玉県和光市,-,-,-,-,-,-,118,0
所沢通信施設,通信,埼玉県所沢市,-,-,-,-,-,-,966,0
大和田通信所,通信,埼玉県新座市,東京都清瀬市,-,-,-,-,-,1199,0
硫黄島通信所,通信,東京都小笠原村,-,-,-,-,-,-,3810,132
ニューサンノー米軍センター,その他,東京都港区,-,-,-,-,-,-,7,0
根岸住宅地区,住宅,神奈川県横浜市,-,-,-,-,-,-,429,0
横浜ノース・ドック,港湾,神奈川県横浜市,-,-,-,-,-,-,523,0
キャンプ座間,事務所,神奈川県相模原市,神奈川県座間市,-,-,-,-,-,2292,170
厚木海軍飛行場,飛行場,神奈川県綾瀬市,神奈川県大和市,-,-,-,-,-,2497,1076
相模総合補給廠,工場,神奈川県相模原市,-,-,-,-,-,-,1967,0
池子住宅地区及び海軍補助施設,住宅,神奈川県逗子市,神奈川県横浜市,-,-,-,-,-,2882,0
吾妻倉庫地区,倉庫,神奈川県横須賀市,-,-,-,-,-,-,802,254
横須賀海軍施設,港湾,神奈川県横須賀市,-,-,-,-,-,-,2363,49
相模原住宅地区,住宅,神奈川県相模原市,-,-,-,-,-,-,593,0
浦郷倉庫地区,倉庫,神奈川県横須賀市,-,-,-,-,-,-,194,0
富士営舎地区,兵舎,静岡県御殿場市,-,-,-,-,-,-,1177,47
鶴見貯油施設,倉庫,神奈川県横浜市,-,-,-,-,-,-,184,0
沼津海浜訓練場,演習場,静岡県沼津市,-,-,-,-,-,-,28,28
経ヶ岬通信所,通信,京都府京丹後市,-,-,-,-,-,-,36,0
秋月弾薬庫,倉庫,広島県江田島市,-,-,-,-,-,-,559,0
川上弾薬庫,倉庫,広島県東広島市,-,-,-,-,-,-,2604,0
広弾薬庫,倉庫,広島県呉市,-,-,-,-,-,-,359,0
岩国飛行場,飛行場,山口県岩国市,広島県大竹市,-,-,-,-,-,8648,5615
祖生通信所,通信,山口県岩国市,-,-,-,-,-,-,24,0
呉第六突堤,港湾,広島県呉市,-,-,-,-,-,-,12,0
灰ヶ峰通信施設,通信,広島県呉市,-,-,-,-,-,-,1,0
板付飛行場,飛行場,福岡県福岡市,-,-,-,-,-,-,23,0
佐世保海軍施設,港湾,長崎県佐世保市,-,-,-,-,-,-,488,12
佐世保ドライ・ドック地区,港湾,長崎県佐世保市,-,-,-,-,-,-,41,28
赤崎貯油所,倉庫,長崎県佐世保市,-,-,-,-,-,-,754,0
佐世保弾薬補給所,倉庫,長崎県佐世保市,-,-,-,-,-,-,582,0
庵崎貯油所,倉庫,長崎県佐世保市,-,-,-,-,-,-,227,45
横瀬貯油所,倉庫,長崎県西海市,-,-,-,-,-,-,679,0
針尾島弾薬集積所,倉庫,長崎県佐世保市,-,-,-,-,-,-,1297,48
立神港区,港湾,長崎県佐世保市,-,-,-,-,-,-,135,28
針尾住宅地区,住宅,長崎県佐世保市,-,-,-,-,-,-,354,0
北部訓練場,演習場,沖縄県国頭郡国頭村,沖縄県東村,-,-,-,-,-,35331,0
奥間レスト・センター,その他,沖縄県国頭郡国頭村,-,-,-,-,-,-,546,0
伊江島補助飛行場　,演習場,沖縄県国頭郡伊江村,-,-,-,-,-,-,8015,0
八重岳通信所,通信,沖縄県名護市,沖縄県国頭郡本部町,-,-,-,-,-,37,1
キャンプ・シュワブ,演習場,沖縄県名護市,沖縄県国頭郡宜野座村,-,-,-,-,-,20626,7077
辺野古弾薬庫　,倉庫,沖縄県名護市,-,-,-,-,-,-,1214,0
キャンプ･ハンセン,演習場,沖縄県国頭郡金武町,沖縄県国頭郡宜野座村,沖縄県国頭郡恩納村,沖縄県名護市,-,-,-,48131,39385
金武レッド・ビーチ訓練場,演習場,沖縄県国頭郡金武町,-,-,-,-,-,-,14,0
金武ブルー・ビーチ訓練場,演習場,沖縄県国頭郡金武町,-,-,-,-,-,-,381,0
嘉手納弾薬庫地区,倉庫,沖縄県中頭郡読谷村,沖縄県沖縄市,沖縄県中頭郡嘉手納町,沖縄県国頭郡恩納村,沖縄県うるま市,-,-,26276,163
天願桟橋,港湾,沖縄県うるま市,-,-,-,-,-,-,31,0
キャンプ・コートニー,兵舎,沖縄県うるま市,-,-,-,-,-,-,1339,0
キャンプ・マクトリアス,兵舎,沖縄県うるま市,-,-,-,-,-,-,379,0
キャンプ・シールズ,兵舎,沖縄県沖縄市,-,-,-,-,-,-,700,0
トリイ通信施設,通信,沖縄県中頭郡読谷村　,-,-,-,-,-,-,1895,0
嘉手納飛行場,飛行場,沖縄県中頭郡嘉手納町,沖縄県沖縄市,沖縄県中頭郡北谷町,沖縄県那覇市,-,-,-,19855,23
キャンプ桑江,兵舎,沖縄県中頭郡北谷町,-,-,-,-,-,-,676,0
キャンプ瑞慶覧,兵舎,沖縄県中頭郡北谷町,沖縄県中頭郡北中城村,沖縄県宜野湾市,沖縄県沖縄市,沖縄県うるま市,-,-,5342,0
泡瀬通信施設,通信,沖縄県沖縄市,-,-,-,-,-,-,552,0
ホワイト・ビーチ地区,港湾,沖縄県うるま市,-,-,-,-,-,-,1568,221
普天間飛行場,飛行場,沖縄県宜野湾市,-,-,-,-,-,-,4758,0
牧港補給地区,倉庫,沖縄県浦添市,-,-,-,-,-,-,2675,0
那覇港湾施設,港湾,沖縄県那覇市,-,-,-,-,-,-,559,3
陸軍貯油施設,倉庫,沖縄県うるま市,沖縄県中頭郡北谷町,沖縄県中頭郡嘉手納町,沖縄県沖縄市,沖縄県宜野湾市,-,-,1278,14
鳥島射爆撃場,演習場,沖縄県島尻郡久米島町,-,-,-,-,-,-,39,0
出砂島射爆撃場,演習場,沖縄県島尻郡渡名喜村,-,-,-,-,-,-,245,245
久米島射爆撃場,演習場,沖縄県島尻郡久米島町,-,-,-,-,-,-,2,0
津堅島訓練場　,演習場,沖縄県うるま市,-,-,-,-,-,-,16,0
黄尾嶼射爆撃場,演習場,沖縄県石垣市,-,-,-,-,-,-,874,0
赤尾嶼射爆撃場,演習場,沖縄県石垣市,-,-,-,-,-,-,41,0
沖大東島射爆撃場,演習場,沖縄県島尻郡北大東村,-,-,-,-,-,-,1147,1147
