施設・区域名,用途,所在地1,所在地2,所在地3,所在地4,所在地5,所在地6,所在地7,2-1(a)面積（千㎡）,2-4(a)面積（千㎡）,latitude,longitude
キャンプ千歳,通信,北海道千歳市,-,-,-,-,-,-,4274,4263,42.7867661,141.6812605
三沢飛行場,飛行場,青森県三沢市,青森県上北郡東北町,-,-,-,-,-,15780,5183,40.7082871,141.3907073
八戸貯油施設,倉庫,青森県八戸市,青森県三沢市,青森県上北郡おいらせ町,-,-,-,-,173,1,40.5281597,141.497896
三沢対地射爆撃場,演習場,青森県三沢市,青森県上北郡六ヶ所村,-,-,-,-,-,7656,7655,40.7082871,141.3907073
車力通信所,通信,青森県つがる市,-,-,-,-,-,-,135,0,40.9487277,140.3586941
赤坂プレス・センター,事務所,東京都港区,-,-,-,-,-,-,27,0,35.665913,139.7459082
横田飛行場,飛行場,東京都福生市,東京都西多摩郡瑞穂町,東京都武蔵村山市,東京都羽村市,東京都立川市,東京都昭島市,埼玉県狭山市,7136,139,35.7193309,139.3414777
多摩サービス補助施設,その他,東京都稲城市,東京都多摩市,-,-,-,-,-,1948,0,34.9741067,135.7516775
木更津飛行場,飛行場,千葉県木更津市,-,-,-,-,-,-,2095,2082,35.3663702,139.9085445
キャンプ朝霞,通信,埼玉県和光市,-,-,-,-,-,-,118,0,35.7847895,139.6124903
所沢通信施設,通信,埼玉県所沢市,-,-,-,-,-,-,966,0,35.7970037,139.5079525
大和田通信所,通信,埼玉県新座市,東京都清瀬市,-,-,-,-,-,1199,0,35.776857,139.566205
硫黄島通信所,通信,東京都小笠原村,-,-,-,-,-,-,3810,132,24.2819766,153.9849912
ニューサンノー米軍センター,その他,東京都港区,-,-,-,-,-,-,7,0,35.665913,139.7459082
根岸住宅地区,住宅,神奈川県横浜市,-,-,-,-,-,-,429,0,35.5264794,139.6474132
横浜ノース・ドック,港湾,神奈川県横浜市,-,-,-,-,-,-,523,0,35.5264794,139.6474132
キャンプ座間,事務所,神奈川県相模原市,神奈川県座間市,-,-,-,-,-,2292,170,35.5834096,139.3471732
厚木海軍飛行場,飛行場,神奈川県綾瀬市,神奈川県大和市,-,-,-,-,-,2497,1076,35.458494,139.4259019
相模総合補給廠,工場,神奈川県相模原市,-,-,-,-,-,-,1967,0,35.5834096,139.3471732
池子住宅地区及び海軍補助施設,住宅,神奈川県逗子市,神奈川県横浜市,-,-,-,-,-,2882,0,35.2978224,139.6016609
吾妻倉庫地区,倉庫,神奈川県横須賀市,-,-,-,-,-,-,802,254,35.2589208,139.7235625
横須賀海軍施設,港湾,神奈川県横須賀市,-,-,-,-,-,-,2363,49,35.2589208,139.7235625
相模原住宅地区,住宅,神奈川県相模原市,-,-,-,-,-,-,593,0,35.5834096,139.3471732
浦郷倉庫地区,倉庫,神奈川県横須賀市,-,-,-,-,-,-,194,0,35.2589208,139.7235625
富士営舎地区,兵舎,静岡県御殿場市,-,-,-,-,-,-,1177,47,35.3346006,137.1234616
鶴見貯油施設,倉庫,神奈川県横浜市,-,-,-,-,-,-,184,0,35.5264794,139.6474132
沼津海浜訓練場,演習場,静岡県沼津市,-,-,-,-,-,-,28,28,35.1323776,138.8863425
経ヶ岬通信所,通信,京都府京丹後市,-,-,-,-,-,-,36,0,35.6100263,135.079102
秋月弾薬庫,倉庫,広島県江田島市,-,-,-,-,-,-,559,0,34.3871408,132.411474
川上弾薬庫,倉庫,広島県東広島市,-,-,-,-,-,-,2604,0,34.3993599,132.710983
広弾薬庫,倉庫,広島県呉市,-,-,-,-,-,-,359,0,34.2333546,132.5564844
岩国飛行場,飛行場,山口県岩国市,広島県大竹市,-,-,-,-,-,8648,5615,34.1722892,132.2213883
祖生通信所,通信,山口県岩国市,-,-,-,-,-,-,24,0,34.1722892,132.2213883
呉第六突堤,港湾,広島県呉市,-,-,-,-,-,-,12,0,34.2333546,132.5564844
灰ヶ峰通信施設,通信,広島県呉市,-,-,-,-,-,-,1,0,34.2333546,132.5564844
板付飛行場,飛行場,福岡県福岡市,-,-,-,-,-,-,23,0,33.5725985,130.3916912
佐世保海軍施設,港湾,長崎県佐世保市,-,-,-,-,-,-,488,12,33.2660435,129.6780551
佐世保ドライ・ドック地区,港湾,長崎県佐世保市,-,-,-,-,-,-,41,28,33.2660435,129.6780551
赤崎貯油所,倉庫,長崎県佐世保市,-,-,-,-,-,-,754,0,33.2660435,129.6780551
佐世保弾薬補給所,倉庫,長崎県佐世保市,-,-,-,-,-,-,582,0,33.2660435,129.6780551
庵崎貯油所,倉庫,長崎県佐世保市,-,-,-,-,-,-,227,45,33.2660435,129.6780551
横瀬貯油所,倉庫,長崎県西海市,-,-,-,-,-,-,679,0,34.690441,135.197856
針尾島弾薬集積所,倉庫,長崎県佐世保市,-,-,-,-,-,-,1297,48,33.2660435,129.6780551
立神港区,港湾,長崎県佐世保市,-,-,-,-,-,-,135,28,33.2660435,129.6780551
針尾住宅地区,住宅,長崎県佐世保市,-,-,-,-,-,-,354,0,33.2660435,129.6780551
北部訓練場,演習場,沖縄県国頭郡国頭村,沖縄県東村,-,-,-,-,-,35331,0,26.4363842,127.8005995
奥間レスト・センター,その他,沖縄県国頭郡国頭村,-,-,-,-,-,-,546,0,26.4363842,127.8005995
伊江島補助飛行場　,演習場,沖縄県国頭郡伊江村,-,-,-,-,-,-,8015,0,26.7113143,127.7838799
八重岳通信所,通信,沖縄県名護市,沖縄県国頭郡本部町,-,-,-,-,-,37,1,26.6014882,127.9849511
キャンプ・シュワブ,演習場,沖縄県名護市,沖縄県国頭郡宜野座村,-,-,-,-,-,20626,7077,26.6014882,127.9849511
辺野古弾薬庫　,倉庫,沖縄県名護市,-,-,-,-,-,-,1214,0,26.6014882,127.9849511
キャンプ･ハンセン,演習場,沖縄県国頭郡金武町,沖縄県国頭郡宜野座村,沖縄県国頭郡恩納村,沖縄県名護市,-,-,-,48131,39385,26.4434635,127.8351241
金武レッド・ビーチ訓練場,演習場,沖縄県国頭郡金武町,-,-,-,-,-,-,14,0,26.4434635,127.8351241
金武ブルー・ビーチ訓練場,演習場,沖縄県国頭郡金武町,-,-,-,-,-,-,381,0,26.4434635,127.8351241
嘉手納弾薬庫地区,倉庫,沖縄県中頭郡読谷村,沖縄県沖縄市,沖縄県中頭郡嘉手納町,沖縄県国頭郡恩納村,沖縄県うるま市,-,-,26276,163,26.3828561,127.7522976
天願桟橋,港湾,沖縄県うるま市,-,-,-,-,-,-,31,0,26.3281246,127.8667058
キャンプ・コートニー,兵舎,沖縄県うるま市,-,-,-,-,-,-,1339,0,26.3281246,127.8667058
キャンプ・マクトリアス,兵舎,沖縄県うるま市,-,-,-,-,-,-,379,0,26.3281246,127.8667058
キャンプ・シールズ,兵舎,沖縄県沖縄市,-,-,-,-,-,-,700,0,26.3582484,127.8017085
トリイ通信施設,通信,沖縄県中頭郡読谷村　,-,-,-,-,-,-,1895,0,26.3828561,127.7522976
嘉手納飛行場,飛行場,沖縄県中頭郡嘉手納町,沖縄県沖縄市,沖縄県中頭郡北谷町,沖縄県那覇市,-,-,-,19855,23,26.368204,127.7661686
キャンプ桑江,兵舎,沖縄県中頭郡北谷町,-,-,-,-,-,-,676,0,26.3222299,127.7645753
キャンプ瑞慶覧,兵舎,沖縄県中頭郡北谷町,沖縄県中頭郡北中城村,沖縄県宜野湾市,沖縄県沖縄市,沖縄県うるま市,-,-,5342,0,26.3222299,127.7645753
泡瀬通信施設,通信,沖縄県沖縄市,-,-,-,-,-,-,552,0,26.3582484,127.8017085
ホワイト・ビーチ地区,港湾,沖縄県うるま市,-,-,-,-,-,-,1568,221,26.3281246,127.8667058
普天間飛行場,飛行場,沖縄県宜野湾市,-,-,-,-,-,-,4758,0,26.2891769,127.7535512
牧港補給地区,倉庫,沖縄県浦添市,-,-,-,-,-,-,2675,0,26.2496415,127.6884387
那覇港湾施設,港湾,沖縄県那覇市,-,-,-,-,-,-,559,3,26.2161745,127.6819039
陸軍貯油施設,倉庫,沖縄県うるま市,沖縄県中頭郡北谷町,沖縄県中頭郡嘉手納町,沖縄県沖縄市,沖縄県宜野湾市,-,-,1278,14,26.3281246,127.8667058
鳥島射爆撃場,演習場,沖縄県島尻郡久米島町,-,-,-,-,-,-,39,0,26.337551,126.761405
出砂島射爆撃場,演習場,沖縄県島尻郡渡名喜村,-,-,-,-,-,-,245,245,26.3719994,127.140941
久米島射爆撃場,演習場,沖縄県島尻郡久米島町,-,-,-,-,-,-,2,0,26.337551,126.761405
津堅島訓練場　,演習場,沖縄県うるま市,-,-,-,-,-,-,16,0,26.3281246,127.8667058
黄尾嶼射爆撃場,演習場,沖縄県石垣市,-,-,-,-,-,-,874,0,24.3390382,124.1588381
赤尾嶼射爆撃場,演習場,沖縄県石垣市,-,-,-,-,-,-,41,0,24.3390382,124.1588381
沖大東島射爆撃場,演習場,沖縄県島尻郡北大東村,-,-,-,-,-,-,1147,1147,,
